team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
CAR,2023,CAR,2023020516,CAR,NYI,HOME,20231223,Team Level,all,0.6101,0.6563,0.6237,3600.0,42.795,4.163,2.673,11.417,1.466,23.088,15.193,3.909,3.922,3.679,40.0,18.0,26.0,84.0,4.0,5.0,1.0,11.0,0.0,22.0,16.0,36.0,54.0,4.0,8.0,33.0,19.0,5.0,7.0,43.0,10.0,5.0,1.169,1.295,1.698,2.0,1.0,1.0,78.022,58.0,53.873,5.0,0.574,1.116,1.116,3.621,3.406,3.315,26.58,2.661,1.481,6.598,0.81,13.075,10.375,2.553,2.845,2.729,28.0,7.0,9.0,44.0,5.0,4.0,1.0,10.0,0.0,6.0,10.0,23.0,30.0,5.0,10.0,35.0,14.0,8.0,1.0,27.0,4.0,4.0,0.897,0.56,1.203,4.0,1.0,0.0,47.785,35.0,38.094,0.0,0.323,0.647,0.647,2.336,2.491,2.437
CAR,2023,CAR,2023020575,CAR,NYR,AWAY,20240102,Team Level,all,0.6213,0.5,0.5,3600.0,29.674,2.618,2.068,6.674,0.933,14.979,11.727,2.563,2.81,2.753,27.0,12.0,10.0,49.0,6.0,2.0,0.0,1.0,0.0,13.0,17.0,21.0,33.0,3.0,6.0,30.0,18.0,3.0,1.0,31.0,5.0,3.0,0.789,0.601,1.228,1.0,2.0,3.0,55.369,39.0,42.961,1.0,0.476,0.066,0.066,3.029,3.257,3.194,27.335,1.596,1.535,7.67,0.953,14.969,12.276,1.583,1.462,1.45,29.0,10.0,10.0,49.0,1.0,2.0,0.0,6.0,0.0,10.0,20.0,28.0,38.0,4.0,8.0,29.0,26.0,7.0,3.0,36.0,1.0,2.0,0.896,0.138,0.561,1.0,0.0,0.0,44.154,39.0,35.434,3.0,0.322,0.244,0.244,1.675,1.537,1.53
CAR,2023,CAR,2023020603,CAR,WSH,AWAY,20240105,Team Level,all,0.7427,0.6754,0.6786,3600.0,40.863,4.425,2.804,11.018,1.525,22.129,15.1,4.027,4.597,4.159,34.0,23.0,20.0,77.0,6.0,8.0,0.0,4.0,0.0,23.0,16.0,28.0,51.0,3.0,6.0,37.0,11.0,6.0,5.0,43.0,9.0,5.0,1.319,1.183,1.923,2.0,2.0,2.0,77.423,57.0,57.556,5.0,0.615,1.312,1.312,3.727,3.797,3.711,19.008,1.533,1.245,4.764,0.682,10.599,8.177,1.493,1.509,1.47,17.0,10.0,10.0,37.0,2.0,3.0,0.0,3.0,0.0,8.0,11.0,15.0,25.0,3.0,6.0,24.0,14.0,4.0,12.0,22.0,4.0,1.0,0.747,0.535,0.252,1.0,1.0,0.0,37.172,27.0,27.256,7.0,0.262,0.409,0.409,1.387,1.371,1.357
CAR,2023,CAR,2023020657,CAR,PIT,HOME,20240113,Team Level,all,0.6122,0.4841,0.52,3701.0,38.284,3.934,2.476,9.331,1.298,20.242,14.719,3.806,3.92,3.792,35.0,17.0,9.0,61.0,3.0,3.0,1.0,9.0,0.0,15.0,22.0,32.0,49.0,4.0,8.0,30.0,19.0,9.0,14.0,32.0,16.0,4.0,0.93,1.897,1.106,2.0,0.0,1.0,62.97,52.0,53.405,10.0,0.551,0.845,0.845,3.64,3.625,3.586,35.499,2.492,2.365,9.401,1.19,18.086,14.466,2.407,2.505,2.42,40.0,8.0,17.0,65.0,2.0,2.0,1.0,7.0,0.0,16.0,21.0,38.0,46.0,4.0,8.0,29.0,19.0,6.0,7.0,37.0,9.0,2.0,0.939,1.125,0.428,1.0,1.0,0.0,62.844,48.0,46.811,4.0,0.551,0.22,0.22,2.823,2.836,2.756
CAR,2023,CAR,2023020942,CAR,CBJ,AWAY,20240229,Team Level,all,0.6241,0.6,0.5783,3600.0,35.386,3.569,2.218,8.823,1.155,18.431,13.805,3.273,3.804,3.475,33.0,15.0,24.0,72.0,4.0,3.0,0.0,6.0,0.0,21.0,14.0,29.0,44.0,3.0,6.0,34.0,5.0,2.0,2.0,34.0,9.0,5.0,0.813,1.2,1.556,1.0,2.0,1.0,78.73,48.0,52.467,0.0,0.488,0.412,0.412,3.645,3.873,3.712,24.878,2.15,1.934,6.3,0.926,13.781,9.909,2.09,2.004,1.949,22.0,13.0,13.0,48.0,2.0,6.0,0.0,4.0,0.0,10.0,13.0,20.0,33.0,2.0,4.0,22.0,12.0,2.0,2.0,25.0,9.0,1.0,0.843,1.052,0.256,2.0,0.0,0.0,44.924,35.0,32.724,1.0,0.418,0.556,0.556,2.011,1.889,1.853
CAR,2023,CAR,2023021032,CAR,NYR,HOME,20240312,Team Level,all,0.5184,0.5528,0.5176,3600.0,33.139,3.696,2.168,8.502,1.088,16.384,12.161,3.167,3.488,2.968,28.0,16.0,24.0,68.0,0.0,6.0,0.0,6.0,0.0,13.0,19.0,28.0,44.0,2.0,4.0,27.0,28.0,19.0,9.0,30.0,9.0,5.0,0.852,1.2,1.644,0.0,0.0,0.0,63.81,44.0,41.371,1.0,0.472,1.445,1.445,2.723,2.557,2.359,27.424,3.433,1.714,6.944,1.016,15.891,12.001,3.181,3.567,3.311,24.0,17.0,14.0,55.0,1.0,2.0,0.0,8.0,0.0,14.0,16.0,23.0,40.0,1.0,2.0,25.0,23.0,10.0,6.0,31.0,6.0,4.0,0.806,0.638,1.989,1.0,0.0,0.0,58.666,41.0,43.605,4.0,0.363,0.47,0.47,3.326,3.461,3.231
CAR,2023,CAR,2023021087,CAR,NYI,AWAY,20240319,Team Level,all,0.5774,0.5517,0.5357,3600.0,32.712,2.752,2.033,8.216,1.15,17.297,13.551,2.632,2.987,2.852,34.0,11.0,19.0,64.0,4.0,7.0,0.0,5.0,0.0,17.0,12.0,30.0,41.0,2.0,7.0,25.0,15.0,5.0,11.0,34.0,7.0,4.0,0.7,0.813,1.239,0.0,2.0,2.0,73.571,45.0,50.307,3.0,0.45,0.492,0.492,2.711,2.93,2.872,28.58,2.014,2.017,8.002,1.017,14.7,11.25,1.977,1.867,1.833,31.0,8.0,13.0,52.0,1.0,5.0,1.0,2.0,0.0,13.0,18.0,30.0,38.0,2.0,7.0,17.0,20.0,9.0,18.0,31.0,7.0,1.0,0.737,0.998,0.279,0.0,1.0,0.0,45.994,39.0,35.415,5.0,0.432,0.656,0.656,1.79,1.649,1.634
CAR,2023,CAR,2023021099,CAR,PHI,HOME,20240321,Team Level,all,0.414,0.5143,0.4674,3688.0,30.632,2.255,1.834,8.213,1.074,16.731,12.894,2.19,2.217,2.153,33.0,10.0,29.0,72.0,3.0,2.0,0.0,5.0,0.0,13.0,20.0,30.0,40.0,2.0,4.0,26.0,16.0,4.0,4.0,36.0,6.0,1.0,1.085,0.852,0.318,2.0,1.0,0.0,71.566,43.0,43.242,1.0,0.389,0.487,0.487,2.158,2.113,2.072,37.044,3.192,2.39,9.847,1.225,18.58,13.766,3.075,3.276,3.153,32.0,17.0,19.0,68.0,2.0,1.0,1.0,7.0,0.0,20.0,19.0,30.0,47.0,2.0,4.0,33.0,19.0,9.0,3.0,34.0,12.0,3.0,0.85,1.401,0.941,0.0,1.0,1.0,68.342,49.0,49.161,2.0,0.563,0.418,0.418,3.338,3.412,3.373
CAR,2023,CAR,2023021109,CAR,WSH,AWAY,20240322,Team Level,all,0.4664,0.5075,0.5495,3900.0,36.285,3.338,2.102,9.333,1.266,18.674,15.286,3.223,3.437,3.319,31.0,19.0,18.0,68.0,6.0,5.0,1.0,6.0,0.0,17.0,16.0,25.0,44.0,5.0,12.0,33.0,16.0,12.0,8.0,40.0,5.0,5.0,1.139,0.545,1.655,3.0,1.0,2.0,70.65,50.0,51.813,6.0,0.484,0.769,0.769,3.053,3.141,3.065,30.158,3.819,2.286,7.306,1.015,15.771,10.804,3.633,3.695,3.511,25.0,16.0,25.0,66.0,6.0,1.0,1.0,6.0,0.0,20.0,8.0,19.0,35.0,3.0,6.0,42.0,30.0,17.0,16.0,24.0,11.0,6.0,0.865,1.259,1.694,2.0,2.0,2.0,63.882,41.0,39.767,8.0,0.523,0.382,0.382,3.96,3.821,3.613
CAR,2023,CAR,2023021138,CAR,PIT,AWAY,20240326,Team Level,all,0.4067,0.6615,0.6566,3600.0,46.93,2.789,2.798,13.568,1.618,26.253,17.975,2.662,2.865,2.735,39.0,26.0,21.0,86.0,1.0,7.0,0.0,14.0,0.0,20.0,23.0,38.0,64.0,3.0,9.0,35.0,15.0,11.0,10.0,57.0,6.0,2.0,1.458,0.821,0.51,1.0,0.0,0.0,86.405,65.0,64.788,7.0,0.634,0.915,0.915,2.509,2.56,2.482,25.434,4.068,1.279,6.417,0.792,11.54,9.905,3.515,4.031,3.479,22.0,12.0,10.0,44.0,4.0,2.0,1.0,3.0,0.0,13.0,12.0,18.0,30.0,3.0,9.0,39.0,18.0,9.0,12.0,25.0,3.0,6.0,0.753,0.331,2.984,2.0,0.0,2.0,43.988,34.0,34.165,2.0,0.272,1.165,1.165,3.175,3.145,3.113
