team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
WSH,2023,WSH,2023020216,WSH,NYI,AWAY,20231111,Team Level,other,0.9109,0.2727,0.375,198.0,1.816,1.861,0.06,0.033,0.041,0.524,0.481,1.42,1.861,1.42,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.861,0.0,0.0,1.0,3.0,3.0,3.0,0.0,0.015,0.0,0.0,1.877,1.877,1.428,3.14,0.182,0.322,0.796,0.138,2.57,0.992,0.039,0.182,0.039,3.0,2.0,3.0,8.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,3.0,5.0,0.0,0.0,3.0,1.0,0.0,1.0,5.0,0.0,0.0,0.182,0.0,0.0,0.0,0.0,0.0,8.0,5.0,5.0,0.0,0.083,0.0,0.0,0.265,0.265,0.055
WSH,2023,WSH,2023020216,WSH,NYI,AWAY,20231111,Team Level,all,0.5879,0.3333,0.3663,3600.0,27.299,3.876,1.654,7.132,0.912,12.739,10.686,3.232,4.035,3.372,28.0,9.0,12.0,49.0,4.0,3.0,1.0,4.0,0.0,7.0,19.0,24.0,33.0,1.0,2.0,25.0,20.0,13.0,11.0,29.0,3.0,5.0,0.798,0.374,2.705,1.0,1.0,2.0,52.262,37.0,39.321,7.0,0.367,0.88,0.88,3.363,3.477,3.017,45.649,2.717,2.756,11.303,1.6,25.757,19.867,2.512,2.539,2.339,37.0,27.0,34.0,98.0,1.0,6.0,0.0,7.0,0.0,27.0,23.0,36.0,63.0,1.0,2.0,25.0,23.0,5.0,11.0,56.0,4.0,4.0,1.393,0.432,0.893,1.0,0.0,0.0,91.023,64.0,59.826,4.0,0.579,0.716,0.716,2.58,2.423,2.173
WSH,2023,WSH,2023020216,WSH,NYI,AWAY,20231111,Team Level,5on5,0.433,0.3203,0.3295,3162.0,22.238,1.936,1.212,5.916,0.707,10.292,8.938,1.734,2.095,1.874,23.0,6.0,12.0,41.0,3.0,2.0,1.0,3.0,0.0,5.0,16.0,20.0,26.0,1.0,2.0,22.0,18.0,11.0,10.0,24.0,3.0,2.0,0.719,0.374,0.843,1.0,1.0,1.0,44.262,29.0,31.321,7.0,0.251,0.843,0.843,1.344,1.458,1.448,42.509,2.535,2.434,10.507,1.462,23.186,18.875,2.474,2.357,2.3,34.0,25.0,28.0,87.0,1.0,6.0,0.0,6.0,0.0,23.0,23.0,33.0,58.0,1.0,2.0,20.0,22.0,5.0,9.0,51.0,4.0,4.0,1.21,0.432,0.893,1.0,0.0,0.0,80.023,59.0,54.826,3.0,0.496,0.716,0.716,2.315,2.158,2.118
WSH,2023,WSH,2023020216,WSH,NYI,AWAY,20231111,Team Level,4on5,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH,2023,WSH,2023020216,WSH,NYI,AWAY,20231111,Team Level,5on4,1.0,1.0,1.0,120.0,3.245,0.079,0.382,1.183,0.165,1.923,1.268,0.078,0.079,0.078,4.0,1.0,0.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,4.0,5.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,0.0,0.079,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.101,0.037,0.037,0.143,0.143,0.141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
WSH,2023,WSH,2023020263,WSH,CBJ,HOME,20231118,Team Level,other,0.809,0.3333,0.5,193.0,1.944,0.898,0.131,0.211,0.068,0.985,0.706,0.75,0.898,0.75,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.126,0.772,0.0,1.0,0.0,3.0,3.0,3.0,0.0,0.033,0.0,0.0,0.931,0.931,0.778,1.93,0.212,0.151,0.473,0.088,1.383,0.694,0.212,0.212,0.212,3.0,0.0,3.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.011,0.2,0.0,0.0,1.0,0.0,6.0,3.0,3.0,0.0,0.042,0.0,0.0,0.254,0.254,0.254
WSH,2023,WSH,2023020263,WSH,CBJ,HOME,20231118,Team Level,all,0.4364,0.3969,0.383,3600.0,25.931,2.46,1.673,5.798,0.821,14.664,10.584,2.301,2.429,2.27,26.0,10.0,16.0,52.0,4.0,1.0,0.0,5.0,0.0,13.0,13.0,22.0,32.0,3.0,6.0,35.0,20.0,15.0,17.0,25.0,9.0,2.0,0.649,1.039,0.772,3.0,1.0,0.0,52.028,36.0,35.893,12.0,0.358,0.049,0.049,2.769,2.732,2.565,42.029,3.177,2.841,10.523,1.382,23.03,17.048,2.997,3.233,3.049,36.0,22.0,21.0,79.0,3.0,4.0,0.0,16.0,0.0,17.0,18.0,33.0,55.0,3.0,6.0,35.0,18.0,5.0,8.0,46.0,8.0,4.0,1.072,0.94,1.165,0.0,3.0,0.0,78.832,58.0,58.15,6.0,0.628,1.165,1.165,2.639,2.688,2.541
WSH,2023,WSH,2023020263,WSH,CBJ,HOME,20231118,Team Level,5on5,0.3234,0.4369,0.4054,2841.0,21.916,1.347,1.365,5.132,0.691,12.274,9.191,1.341,1.316,1.31,22.0,8.0,15.0,45.0,3.0,1.0,0.0,3.0,0.0,12.0,11.0,19.0,27.0,3.0,6.0,26.0,19.0,13.0,12.0,23.0,7.0,0.0,0.549,0.798,0.0,3.0,0.0,0.0,45.028,30.0,29.893,9.0,0.282,0.049,0.049,1.58,1.543,1.536,32.528,2.818,2.107,8.316,1.046,16.859,12.854,2.638,2.874,2.691,26.0,18.0,14.0,58.0,2.0,4.0,0.0,12.0,0.0,13.0,13.0,24.0,42.0,3.0,6.0,27.0,18.0,5.0,7.0,34.0,6.0,4.0,0.913,0.739,1.165,0.0,2.0,0.0,57.832,44.0,44.15,5.0,0.436,1.165,1.165,2.089,2.138,1.992
WSH,2023,WSH,2023020263,WSH,CBJ,HOME,20231118,Team Level,4on5,0.0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.202,0.113,0.535,1.522,0.211,4.323,2.296,0.112,0.113,0.112,6.0,3.0,3.0,12.0,0.0,0.0,0.0,2.0,0.0,4.0,3.0,6.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,9.0,0.0,0.0,0.113,0.0,0.0,0.0,0.0,0.0,12.0,9.0,9.0,0.0,0.138,0.0,0.0,0.251,0.251,0.248
WSH,2023,WSH,2023020263,WSH,CBJ,HOME,20231118,Team Level,5on4,0.8606,0.5714,0.6,240.0,2.07,0.216,0.176,0.455,0.062,1.404,0.687,0.21,0.216,0.21,3.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,1.0,0.0,0.1,0.116,0.0,0.0,0.0,0.0,4.0,3.0,3.0,2.0,0.042,0.0,0.0,0.258,0.258,0.251,1.369,0.035,0.048,0.211,0.037,0.466,1.203,0.035,0.035,0.035,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.035,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.011,0.0,0.0,0.046,0.046,0.046
