team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
NYR,2018,NYR,2018020332,NYR,PHI,AWAY,20181123,Team Level,all,0.3118,0.3889,0.4021,3600.0,28.106,2.08,1.797,6.474,0.808,14.686,12.221,2.049,2.104,2.072,31.0,8.0,10.0,49.0,0.0,1.0,0.0,10.0,1.0,10.0,17.0,31.0,39.0,2.0,7.0,26.0,22.0,4.0,9.0,33.0,4.0,2.0,0.959,0.565,0.556,0.0,0.0,0.0,48.23,39.0,38.163,5.0,0.381,0.328,0.328,2.068,2.081,2.049,40.486,4.591,2.789,9.731,1.315,19.662,17.108,4.315,4.552,4.278,46.0,12.0,19.0,77.0,4.0,9.0,1.0,11.0,2.0,13.0,19.0,42.0,54.0,4.0,11.0,37.0,26.0,8.0,5.0,37.0,15.0,6.0,1.185,1.877,1.529,3.0,1.0,0.0,78.086,58.0,59.117,5.0,0.589,1.624,1.624,3.426,3.388,3.291
NYR,2018,NYR,2018020347,NYR,WSH,HOME,20181124,Team Level,all,0.3056,0.4653,0.439,3600.0,25.623,1.221,1.501,6.334,0.958,14.802,11.183,1.196,1.206,1.181,30.0,6.0,11.0,47.0,3.0,1.0,1.0,7.0,1.0,14.0,10.0,27.0,33.0,2.0,4.0,27.0,42.0,9.0,23.0,34.0,1.0,1.0,0.909,0.094,0.218,3.0,0.0,0.0,46.604,36.0,35.937,11.0,0.316,0.039,0.039,1.498,1.477,1.447,30.98,2.775,1.913,7.636,1.042,17.865,14.77,2.764,2.853,2.842,28.0,18.0,8.0,54.0,5.0,0.0,0.0,7.0,0.0,17.0,17.0,23.0,41.0,2.0,4.0,15.0,33.0,5.0,18.0,36.0,8.0,2.0,1.061,0.874,0.84,1.0,2.0,2.0,54.796,46.0,46.251,9.0,0.393,0.0,0.0,3.168,3.258,3.244
NYR,2018,NYR,2018020561,NYR,PHI,HOME,20181223,Team Level,all,0.4575,0.4569,0.4886,3900.0,30.51,2.387,1.938,7.373,1.014,17.22,13.068,2.377,2.322,2.313,34.0,9.0,10.0,53.0,2.0,1.0,0.0,14.0,0.0,13.0,13.0,32.0,41.0,1.0,2.0,28.0,26.0,15.0,19.0,33.0,9.0,1.0,1.123,1.03,0.234,0.0,1.0,1.0,52.245,43.0,42.543,9.0,0.417,0.094,0.094,2.71,2.634,2.625,31.506,2.831,1.95,6.305,0.988,16.69,16.237,2.795,2.88,2.844,31.0,14.0,18.0,63.0,2.0,2.0,1.0,8.0,0.0,14.0,19.0,29.0,43.0,2.0,4.0,34.0,28.0,7.0,12.0,38.0,6.0,1.0,1.168,0.715,0.947,1.0,0.0,1.0,63.745,45.0,45.339,6.0,0.447,0.965,0.965,2.312,2.37,2.343
NYR,2018,NYR,2018020568,NYR,CBJ,HOME,20181227,Team Level,all,0.4727,0.4362,0.4219,3631.0,18.8,1.299,1.259,4.412,0.627,10.017,9.387,1.288,1.251,1.24,22.0,5.0,14.0,41.0,3.0,0.0,0.0,5.0,0.0,11.0,8.0,19.0,24.0,1.0,2.0,23.0,28.0,12.0,16.0,23.0,3.0,1.0,0.591,0.49,0.218,1.0,1.0,1.0,39.722,27.0,26.25,8.0,0.265,0.0,0.0,1.564,1.506,1.49,26.991,1.449,1.606,6.938,0.841,14.993,11.172,1.444,1.517,1.512,29.0,8.0,16.0,53.0,4.0,0.0,0.0,5.0,2.0,12.0,14.0,25.0,33.0,1.0,2.0,32.0,32.0,11.0,15.0,32.0,5.0,0.0,0.862,0.587,0.0,3.0,1.0,0.0,54.535,37.0,38.052,12.0,0.343,0.0,0.0,1.792,1.873,1.867
NYR,2018,NYR,2018020617,NYR,PIT,HOME,20190102,Team Level,all,0.5195,0.6,0.6,3600.0,31.001,2.051,2.064,7.543,1.003,18.941,13.397,1.975,1.903,1.835,30.0,15.0,18.0,63.0,2.0,2.0,0.0,7.0,1.0,17.0,16.0,28.0,43.0,2.0,4.0,37.0,35.0,14.0,14.0,38.0,6.0,1.0,1.135,0.688,0.228,2.0,0.0,0.0,58.249,45.0,42.223,7.0,0.437,0.412,0.412,2.076,1.949,1.917,22.209,1.897,1.358,5.399,0.702,11.701,8.943,1.885,2.084,2.07,25.0,5.0,12.0,42.0,7.0,2.0,0.0,2.0,1.0,8.0,10.0,18.0,23.0,2.0,4.0,28.0,29.0,10.0,10.0,22.0,5.0,3.0,0.542,0.651,0.703,3.0,3.0,1.0,47.032,30.0,33.181,8.0,0.288,0.241,0.241,1.943,2.124,2.113
NYR,2018,NYR,2018020673,NYR,NYI,HOME,20190110,Team Level,all,0.4735,0.6038,0.6111,3600.0,29.36,1.598,1.847,7.049,0.975,18.808,13.723,1.567,1.527,1.498,30.0,14.0,20.0,64.0,3.0,0.0,0.0,8.0,2.0,17.0,14.0,27.0,41.0,5.0,13.0,24.0,37.0,9.0,16.0,38.0,6.0,0.0,0.935,0.663,0.0,2.0,1.0,0.0,60.91,44.0,42.008,3.0,0.399,0.0,0.0,1.997,1.91,1.871,19.08,1.777,1.165,4.481,0.623,11.291,8.662,1.767,1.885,1.874,20.0,8.0,14.0,42.0,4.0,2.0,0.0,3.0,0.0,8.0,11.0,16.0,24.0,5.0,13.0,35.0,36.0,5.0,3.0,21.0,5.0,2.0,0.422,0.557,0.798,1.0,2.0,1.0,44.49,28.0,29.789,1.0,0.257,0.34,0.34,1.694,1.785,1.779
NYR,2018,NYR,2018020688,NYR,NYI,AWAY,20190112,Team Level,all,0.3559,0.4688,0.4324,3600.0,22.198,1.821,1.59,4.845,0.67,12.051,11.021,1.778,1.921,1.875,26.0,6.0,13.0,45.0,2.0,1.0,0.0,5.0,1.0,10.0,13.0,24.0,30.0,6.0,12.0,24.0,27.0,5.0,4.0,22.0,10.0,0.0,0.526,1.296,0.0,0.0,2.0,0.0,46.311,32.0,33.067,2.0,0.336,0.022,0.022,2.135,2.25,2.198,27.766,3.296,2.367,5.333,0.945,17.555,12.504,3.245,3.2,3.151,25.0,17.0,9.0,51.0,1.0,1.0,0.0,7.0,2.0,12.0,19.0,24.0,41.0,4.0,8.0,27.0,21.0,7.0,11.0,25.0,15.0,2.0,0.895,1.72,0.681,0.0,1.0,0.0,49.862,42.0,41.271,6.0,0.527,0.384,0.384,3.439,3.346,3.293
NYR,2018,NYR,2018020700,NYR,CBJ,AWAY,20190113,Team Level,all,0.3598,0.4202,0.413,3600.0,27.454,2.459,1.879,7.077,0.91,14.576,11.1,2.288,2.462,2.291,27.0,11.0,12.0,50.0,5.0,2.0,1.0,7.0,1.0,10.0,13.0,22.0,33.0,5.0,10.0,21.0,17.0,4.0,5.0,31.0,3.0,4.0,0.726,0.396,1.337,2.0,2.0,1.0,48.454,38.0,37.3,3.0,0.446,0.48,0.48,2.425,2.436,2.281,38.359,4.375,2.949,8.435,1.213,21.727,15.301,4.11,4.335,4.072,40.0,14.0,15.0,69.0,7.0,3.0,0.0,8.0,0.0,19.0,17.0,33.0,47.0,3.0,6.0,47.0,9.0,3.0,4.0,33.0,15.0,6.0,1.277,1.707,1.392,3.0,3.0,1.0,70.593,54.0,54.696,2.0,0.642,0.624,0.624,4.392,4.358,4.197
NYR,2018,NYR,2018020712,NYR,CAR,HOME,20190115,Team Level,all,0.5799,0.4274,0.4444,3600.0,26.931,2.539,1.778,6.547,0.905,14.091,14.14,2.473,2.562,2.495,28.0,12.0,13.0,53.0,6.0,3.0,1.0,8.0,1.0,9.0,13.0,22.0,34.0,4.0,8.0,21.0,28.0,7.0,15.0,28.0,9.0,3.0,0.704,1.151,0.684,2.0,3.0,1.0,56.69,40.0,41.249,10.0,0.383,0.241,0.241,2.681,2.698,2.625,32.91,1.839,2.138,7.633,1.063,19.306,18.022,1.781,1.823,1.766,36.0,14.0,21.0,71.0,2.0,1.0,0.0,6.0,1.0,27.0,13.0,34.0,48.0,4.0,8.0,36.0,20.0,9.0,12.0,44.0,5.0,1.0,0.956,0.591,0.292,0.0,2.0,0.0,67.261,50.0,48.623,3.0,0.459,0.292,0.292,2.007,1.997,1.964
NYR,2018,NYR,2018020774,NYR,PHI,HOME,20190129,Team Level,all,0.6876,0.6875,0.6714,3600.0,33.879,2.983,2.541,7.206,1.054,19.914,13.301,2.856,2.837,2.713,38.0,9.0,19.0,66.0,0.0,3.0,0.0,10.0,0.0,19.0,15.0,38.0,47.0,2.0,4.0,25.0,26.0,10.0,12.0,33.0,13.0,1.0,1.127,1.532,0.325,0.0,0.0,0.0,62.03,47.0,44.241,4.0,0.561,0.56,0.56,2.984,2.816,2.74,15.156,1.355,1.068,3.039,0.532,8.48,8.526,1.3,1.473,1.414,19.0,4.0,7.0,30.0,1.0,3.0,1.0,6.0,1.0,5.0,7.0,18.0,22.0,2.0,4.0,33.0,21.0,11.0,13.0,16.0,5.0,2.0,0.438,0.5,0.418,0.0,1.0,0.0,32.774,23.0,25.1,6.0,0.221,0.498,0.498,1.079,1.168,1.134
NYR,2018,NYR,2018020779,NYR,N.J,AWAY,20190131,Team Level,all,0.6651,0.551,0.5513,3600.0,29.707,3.193,1.858,5.88,0.912,16.801,14.355,3.114,3.236,3.156,25.0,18.0,11.0,54.0,4.0,1.0,0.0,5.0,1.0,19.0,13.0,21.0,39.0,3.0,6.0,31.0,15.0,7.0,1.0,29.0,11.0,3.0,0.809,1.132,1.252,1.0,1.0,2.0,53.702,43.0,42.801,0.0,0.409,0.084,0.084,3.519,3.568,3.488,23.004,1.608,1.546,4.985,0.747,14.101,12.012,1.581,1.568,1.541,22.0,13.0,9.0,44.0,3.0,1.0,1.0,3.0,1.0,15.0,12.0,19.0,32.0,4.0,8.0,34.0,17.0,7.0,8.0,29.0,6.0,0.0,0.822,0.786,0.0,1.0,2.0,0.0,43.515,35.0,34.64,5.0,0.327,0.001,0.001,1.934,1.887,1.855
NYR,2018,NYR,2018020837,NYR,CAR,HOME,20190208,Team Level,all,0.2967,0.4587,0.4598,3600.0,26.641,1.533,1.812,6.22,0.906,17.505,12.024,1.501,1.472,1.441,27.0,13.0,10.0,50.0,0.0,0.0,0.0,5.0,1.0,18.0,16.0,27.0,40.0,3.0,6.0,26.0,32.0,7.0,19.0,36.0,4.0,0.0,1.078,0.455,0.0,0.0,0.0,0.0,48.16,40.0,38.637,11.0,0.379,0.0,0.0,1.912,1.835,1.796,32.586,3.634,2.235,7.652,1.076,17.886,14.517,3.543,3.767,3.672,33.0,14.0,12.0,59.0,3.0,4.0,0.0,6.0,1.0,14.0,19.0,30.0,44.0,3.0,6.0,19.0,23.0,12.0,14.0,31.0,11.0,5.0,0.73,1.28,1.624,0.0,2.0,1.0,61.452,47.0,48.989,4.0,0.476,0.809,0.809,3.301,3.418,3.399
NYR,2018,NYR,2018020904,NYR,PIT,AWAY,20190217,Team Level,all,0.6532,0.5221,0.5648,3600.0,44.402,4.894,3.129,9.51,1.509,24.27,17.687,4.341,4.959,4.398,44.0,17.0,10.0,71.0,5.0,6.0,2.0,9.0,1.0,23.0,17.0,39.0,56.0,3.0,6.0,23.0,57.0,5.0,7.0,47.0,8.0,6.0,1.521,1.113,2.26,2.0,1.0,2.0,70.806,61.0,60.928,2.0,0.767,1.331,1.331,4.33,4.373,4.159,32.985,2.598,2.351,7.65,1.021,20.142,13.239,2.575,2.557,2.534,41.0,6.0,18.0,65.0,6.0,0.0,0.0,8.0,1.0,17.0,15.0,35.0,41.0,2.0,6.0,38.0,34.0,6.0,12.0,32.0,15.0,0.0,0.928,1.67,0.0,3.0,3.0,0.0,65.576,47.0,47.211,6.0,0.502,0.0,0.0,3.1,3.052,3.023
NYR,2018,NYR,2018020919,NYR,CAR,AWAY,20190219,Team Level,all,0.4544,0.3497,0.375,3600.0,30.544,4.068,1.946,6.657,1.019,15.077,13.233,3.905,4.254,4.079,26.0,16.0,8.0,50.0,2.0,3.0,2.0,7.0,2.0,5.0,23.0,24.0,40.0,2.0,4.0,27.0,9.0,10.0,17.0,28.0,7.0,7.0,0.81,0.707,2.552,0.0,0.0,2.0,51.997,42.0,43.591,12.0,0.426,0.931,1.415,3.079,3.203,3.188,48.668,4.885,3.597,11.366,1.699,27.442,21.013,4.502,4.722,4.346,44.0,26.0,23.0,93.0,1.0,10.0,1.0,8.0,2.0,24.0,25.0,43.0,69.0,4.0,8.0,25.0,15.0,16.0,15.0,49.0,16.0,5.0,1.581,1.863,1.441,0.0,0.0,1.0,90.012,70.0,67.713,2.0,0.782,1.846,1.846,3.821,3.669,3.509
NYR,2018,NYR,2018020946,NYR,N.J,HOME,20190223,Team Level,all,0.7577,0.5849,0.5641,3600.0,31.018,3.539,2.235,6.869,1.055,17.35,12.952,3.391,3.574,3.426,34.0,10.0,18.0,62.0,5.0,2.0,2.0,9.0,0.0,15.0,13.0,29.0,39.0,5.0,13.0,28.0,21.0,10.0,15.0,33.0,7.0,4.0,1.05,0.872,1.617,1.0,2.0,2.0,66.114,44.0,45.339,8.0,0.491,0.692,0.692,3.337,3.375,3.348,21.924,1.132,1.412,5.078,0.802,12.641,12.935,1.114,1.113,1.096,21.0,13.0,10.0,44.0,2.0,1.0,0.0,6.0,1.0,15.0,9.0,19.0,32.0,6.0,15.0,27.0,29.0,5.0,13.0,31.0,3.0,0.0,0.751,0.381,0.0,2.0,0.0,0.0,41.299,34.0,32.959,9.0,0.318,0.011,0.011,1.439,1.415,1.39
